                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.54506,                0.45994,                 1.0191,                0.94444,                   0.85,                0.92167,                0.77397,                 1.1313,                0.85288,                 1.1925,             1.3953e-05,             1.3953e-05,             1.3953e-05
                     34,                0.66406,                0.72801,                 1.1842,                0.94444,                   0.85,                0.92167,                0.77397,                 1.1313,                0.85288,                 1.1925,             1.3611e-05,             1.3611e-05,             1.3611e-05
                     35,                0.61389,                 0.4527,                 1.1276,                0.94444,                0.83333,                0.91333,                0.76642,                 1.1392,                0.87159,                  1.197,             1.3222e-05,             1.3222e-05,             1.3222e-05
                     36,                 0.6103,                0.47201,                 1.1323,                0.94444,                0.83333,                0.91333,                0.76642,                 1.1392,                0.87159,                  1.197,             1.2787e-05,             1.2787e-05,             1.2787e-05
                     37,                0.69393,                 0.5242,                  1.181,                0.94444,                0.83333,                0.88556,                0.75253,                 1.1409,                0.88252,                 1.1987,             1.2304e-05,             1.2304e-05,             1.2304e-05
                     38,                0.35696,                 0.2515,                0.85931,                0.94444,                0.83333,                0.88556,                0.75253,                 1.1409,                0.88252,                 1.1987,             1.1774e-05,             1.1774e-05,             1.1774e-05
                     39,                0.40527,                 0.2998,                0.97605,                0.94444,                0.83333,                0.88556,                0.75253,                 1.1321,                0.91204,                 1.2027,             1.1196e-05,             1.1196e-05,             1.1196e-05
                     40,                0.37819,                0.41052,                0.90144,                0.94444,                0.83333,                0.88556,                0.75253,                 1.1321,                0.91204,                 1.2027,             1.0572e-05,             1.0572e-05,             1.0572e-05
                     41,                0.34846,                0.22285,                0.88617,                0.94444,                0.83333,                0.88556,                0.75253,                 1.1181,                0.89875,                 1.1953,             9.9008e-06,             9.9008e-06,             9.9008e-06
                     42,                0.32779,                0.23267,                0.90514,                0.94444,                0.83333,                0.88556,                0.75253,                 1.1181,                0.89875,                 1.1953,             9.1823e-06,             9.1823e-06,             9.1823e-06
                     43,                0.39286,                0.26265,                0.97254,                0.94444,                0.83333,                0.88556,                0.75253,                 1.1111,                0.90577,                 1.1914,             8.4166e-06,             8.4166e-06,             8.4166e-06
                     44,                0.42853,                0.28818,                0.90634,                0.94444,                0.83333,                0.88556,                0.75253,                 1.1111,                0.90577,                 1.1914,             7.6039e-06,             7.6039e-06,             7.6039e-06
                     45,                0.43354,                0.28629,                 0.9684,                0.94444,                0.83333,                0.88556,                0.75174,                 1.1098,                 0.9199,                 1.1881,              6.744e-06,              6.744e-06,              6.744e-06
                     46,                0.32611,                0.25953,                0.93384,                0.94444,                0.83333,                0.88556,                0.75174,                 1.1098,                 0.9199,                 1.1881,             5.8369e-06,             5.8369e-06,             5.8369e-06
                     47,                0.37709,                0.23724,                0.97337,                0.94444,                0.83333,                0.88556,                0.75174,                 1.1082,                0.92268,                 1.1869,             4.8828e-06,             4.8828e-06,             4.8828e-06
                     48,                0.42452,                0.23822,                0.93944,                0.94444,                0.83333,                0.88556,                0.75174,                 1.1082,                0.92268,                 1.1869,             3.8815e-06,             3.8815e-06,             3.8815e-06
                     49,                0.30231,                0.22074,                0.87726,                0.91667,                   0.75,                0.85125,                0.73812,                    1.1,                0.92519,                 1.1827,             2.8332e-06,             2.8332e-06,             2.8332e-06
                     50,                0.56361,                0.42598,                 1.1022,                0.91667,                   0.75,                0.85125,                0.73812,                    1.1,                0.92519,                 1.1827,             1.7376e-06,             1.7376e-06,             1.7376e-06
