                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.51646,                0.42699,                  1.016,                0.94444,                   0.85,                0.92167,                0.78239,                 1.1096,                0.81723,                 1.1705,             1.3953e-05,             1.3953e-05,             1.3953e-05
                     34,                0.68356,                0.57842,                 1.2253,                0.94444,                   0.85,                0.92167,                0.78239,                 1.1096,                0.81723,                 1.1705,             1.3611e-05,             1.3611e-05,             1.3611e-05
                     35,                0.54966,                0.40629,                 1.0435,                0.94444,                0.83333,                0.88556,                0.76351,                 1.1184,                0.84868,                 1.1768,             1.3222e-05,             1.3222e-05,             1.3222e-05
                     36,                0.62627,                0.48125,                  1.148,                0.94444,                0.83333,                0.88556,                0.76351,                 1.1184,                0.84868,                 1.1768,             1.2787e-05,             1.2787e-05,             1.2787e-05
                     37,                0.57711,                0.46086,                 1.1224,                0.94444,                0.83333,                0.88556,                0.76351,                 1.1168,                0.88295,                 1.1815,             1.2304e-05,             1.2304e-05,             1.2304e-05
                     38,                0.31659,                0.20987,                0.83336,                0.94444,                0.83333,                0.88556,                0.76351,                 1.1168,                0.88295,                 1.1815,             1.1774e-05,             1.1774e-05,             1.1774e-05
                     39,                0.38337,                0.27967,                 0.9565,                0.94444,                0.83333,                0.88556,                0.76813,                 1.1097,                0.89702,                 1.1802,             1.1196e-05,             1.1196e-05,             1.1196e-05
                     40,                 0.3887,                0.38952,                 0.9156,                0.94444,                0.83333,                0.88556,                0.76813,                 1.1097,                0.89702,                 1.1802,             1.0572e-05,             1.0572e-05,             1.0572e-05
                     41,                0.31944,                0.21022,                0.87738,                0.94444,                0.83333,                0.88556,                0.77227,                 1.0933,                0.89495,                 1.1778,             9.9008e-06,             9.9008e-06,             9.9008e-06
                     42,                0.35074,                 0.2324,                0.93775,                0.94444,                0.83333,                0.88556,                0.77227,                 1.0933,                0.89495,                 1.1778,             9.1823e-06,             9.1823e-06,             9.1823e-06
                     43,                0.38278,                0.25216,                0.97229,                0.94444,                0.83333,                0.88556,                0.77227,                 1.0944,                0.90413,                  1.177,             8.4166e-06,             8.4166e-06,             8.4166e-06
                     44,                0.40582,                0.26253,                0.88851,                0.94444,                0.83333,                0.88556,                0.77227,                 1.0944,                0.90413,                  1.177,             7.6039e-06,             7.6039e-06,             7.6039e-06
                     45,                0.39167,                0.27581,                0.91919,                0.94444,                0.83333,                0.88556,                0.77227,                 1.0973,                0.90685,                 1.1727,              6.744e-06,              6.744e-06,              6.744e-06
                     46,                0.34916,                0.27346,                0.94595,                0.94444,                0.83333,                0.88556,                0.77227,                 1.0973,                0.90685,                 1.1727,             5.8369e-06,             5.8369e-06,             5.8369e-06
                     47,                0.34734,                0.24188,                0.92633,                0.94444,                0.83333,                0.88556,                0.77017,                 1.0767,                0.88307,                 1.1621,             4.8828e-06,             4.8828e-06,             4.8828e-06
                     48,                 0.3981,                0.22003,                0.92107,                0.94444,                0.83333,                0.88556,                0.77017,                 1.0767,                0.88307,                 1.1621,             3.8815e-06,             3.8815e-06,             3.8815e-06
                     49,                0.28395,                0.24141,                0.87373,                0.94444,                0.83333,                0.88556,                0.76813,                 1.0613,                 0.8817,                 1.1504,             2.8332e-06,             2.8332e-06,             2.8332e-06
                     50,                0.50613,                0.42534,                 1.0508,                0.94444,                0.83333,                0.88556,                0.76813,                 1.0613,                 0.8817,                 1.1504,             1.7376e-06,             1.7376e-06,             1.7376e-06
